customer_id,company_name,customer_type,market_id,country,city,customer_tier,credit_limit_usd,payment_terms_days,preferred_categories,primary_platform,account_manager,registration_date,is_active,annual_revenue_band,lifetime_orders,avg_order_value_usd
C0039,Buyer_0039_Intl,Wholesaler,M15,Italy,Rome,Gold,50000,30,"Kitchen,Storage",Noon,Rahul Mehta,2019-10-02,Y,50K-200K,64,9216.08
C0040,Buyer_0040_Intl,Distributor,M16,Spain,Madrid,Bronze,50000,30,"Decor,Textiles",Local Marketplace,Vikram Patel,2020-06-18,Y,<50K,42,3435.58
C0041,Buyer_0041_Intl,Distributor,M11,New Zealand,Wellington,Silver,25000,60,Kitchen,Local Marketplace,Kavya Iyer,2019-03-30,Y,<50K,94,24118.02
C0042,Buyer_0042_Intl,Distributor,M05,Australia,Brisbane,Bronze,50000,15,Textiles,Amazon,Priya Sharma,2019-09-15,Y,<50K,147,29763.57
C0043,Buyer_0043_Intl,Wholesaler,M04,Singapore,Singapore City,Silver,5000,90,Decor,Noon,Kavya Iyer,2019-06-04,Y,200K-500K,11,2071.78
C0044,Buyer_0044_Intl,Interior Design Studio,M03,UK,Birmingham,Silver,25000,30,Textiles,Local Marketplace,Arjun Nair,2018-11-04,Y,200K-500K,98,26621.73
C0045,Buyer_0045_Intl,Online Marketplace,M19,Ireland,Cork,Bronze,5000,45,Textiles,Amazon,Arjun Nair,2019-07-16,Y,50K-200K,71,21665.84
C0046,Buyer_0046_Intl,Retail Chain,M20,Portugal,Lisbon,Gold,10000,45,"Kitchen,Storage",Local Marketplace,Sneha Reddy,2020-06-11,Y,<50K,108,4847.99
C0047,Buyer_0047_Intl,Wholesaler,M18,Sweden,Stockholm,Bronze,10000,60,Storage,Wayfair,Sneha Reddy,2019-02-13,Y,<50K,58,7562.94
C0048,Buyer_0048_Intl,Retail Chain,M15,Italy,Rome,Bronze,10000,45,"Kitchen,Storage",Direct B2B,Rahul Mehta,2021-04-20,Y,<50K,34,23064.59
C0049,Buyer_0049_Intl,Wholesaler,M09,Saudi Arabia,Dammam,Gold,25000,45,All,Direct B2B,Vikram Patel,2019-07-14,Y,<50K,20,12417.22
C0050,Buyer_0050_Intl,Retail Chain,M17,Kuwait,Kuwait City,Silver,10000,15,Kitchen,Local Marketplace,Kavya Iyer,2019-06-25,N,500K-1M,50,37581.98
C0051,Buyer_0051_Intl,Retail Chain,M14,Japan,Osaka,Bronze,25000,45,Decor,Etsy,Arjun Nair,2019-01-31,Y,50K-200K,102,32894.62
C0052,Buyer_0052_Intl,Online Marketplace,M15,Italy,Florence,Gold,10000,30,"Kitchen,Storage",Noon,Sneha Reddy,2021-05-07,N,50K-200K,138,39355.83
C0053,Buyer_0053_Intl,Retail Chain,M01,USA,New York,Silver,10000,45,Kitchen,Noon,Vikram Patel,2019-11-23,Y,<50K,52,10979.1
C0054,Buyer_0054_Intl,Interior Design Studio,M03,UK,Birmingham,Silver,10000,45,"Decor,Textiles",Noon,Kavya Iyer,2020-11-01,Y,50K-200K,15,38813.17
C0055,Buyer_0055_Intl,Online Marketplace,M16,Spain,Barcelona,Silver,5000,45,Kitchen,Wayfair,Sneha Reddy,2018-11-05,Y,50K-200K,84,17704.37
C0056,Buyer_0056_Intl,Distributor,M11,New Zealand,Auckland,Platinum,25000,15,"Decor,Textiles",Noon,Sneha Reddy,2021-11-02,Y,200K-500K,131,14422.74
C0057,Buyer_0057_Intl,Wholesaler,M12,Malaysia,Penang,Bronze,25000,15,"Kitchen,Storage",Direct B2B,Arjun Nair,2019-06-19,Y,50K-200K,37,2773.7
C0058,Buyer_0058_Intl,Retail Chain,M10,Netherlands,Rotterdam,Bronze,25000,45,All,Wayfair,Arjun Nair,2020-02-23,Y,<50K,126,2868.4
C0059,Buyer_0059_Intl,Online Marketplace,M16,Spain,Madrid,Bronze,25000,15,"Kitchen,Storage",Amazon,Sneha Reddy,2021-01-08,Y,50K-200K,40,27926.84
C0060,Buyer_0060_Intl,D2C Platform,M08,France,Lyon,Bronze,10000,15,"Decor,Textiles",Noon,Priya Sharma,2019-04-26,Y,50K-200K,72,18750.82
C0061,Buyer_0061_Intl,Online Marketplace,M06,Canada,Calgary,Gold,50000,15,Kitchen,Noon,Sneha Reddy,2018-11-05,Y,50K-200K,40,9679.65
C0062,Buyer_0062_Intl,Distributor,M12,Malaysia,Kuala Lumpur,Bronze,25000,90,Kitchen,Amazon,Vikram Patel,2020-03-22,Y,>1M,56,24867.64
C0063,Buyer_0063_Intl,D2C Platform,M08,France,Marseille,Platinum,25000,45,"Decor,Textiles",Noon,Sneha Reddy,2021-06-24,N,200K-500K,104,10712.04
C0064,Buyer_0064_Intl,Online Marketplace,M04,Singapore,Singapore City,Platinum,5000,30,Textiles,Amazon,Rahul Mehta,2019-10-19,Y,200K-500K,139,23443.16
C0065,Buyer_0065_Intl,Retail Chain,M08,France,Paris,Silver,10000,30,All,Wayfair,Rahul Mehta,2021-03-04,Y,50K-200K,110,14880.98
C0066,Buyer_0066_Intl,Distributor,M18,Sweden,Stockholm,Silver,10000,30,Storage,Direct B2B,Rahul Mehta,2019-02-10,Y,50K-200K,136,33083.25
C0067,Buyer_0067_Intl,Wholesaler,M05,Australia,Perth,Bronze,10000,60,Decor,Amazon,Priya Sharma,2019-01-16,Y,50K-200K,93,32971.29
C0068,Buyer_0068_Intl,Online Marketplace,M09,Saudi Arabia,Jeddah,Bronze,25000,45,Kitchen,Etsy,Priya Sharma,2021-01-11,Y,200K-500K,94,19512.14
C0069,Buyer_0069_Intl,Online Marketplace,M04,Singapore,Singapore City,Silver,25000,30,Decor,Amazon,Sneha Reddy,2019-05-08,Y,200K-500K,56,14552.11
C0070,Buyer_0070_Intl,Wholesaler,M17,Kuwait,Kuwait City,Silver,25000,30,Storage,Noon,Rahul Mehta,2020-06-11,Y,<50K,60,15012.34
C0071,Buyer_0071_Intl,Wholesaler,M09,Saudi Arabia,Dammam,Bronze,50000,15,"Kitchen,Storage",Wayfair,Priya Sharma,2020-08-02,Y,50K-200K,138,32384.01
C0072,Buyer_0072_Intl,Distributor,M01,USA,Seattle,Silver,50000,45,Decor,Local Marketplace,Arjun Nair,2019-09-03,Y,50K-200K,39,13664.64
C0073,Buyer_0073_Intl,Retail Chain,M20,Portugal,Porto,Silver,50000,60,Storage,Wayfair,Sneha Reddy,2018-12-10,Y,500K-1M,28,8995.13
C0074,Buyer_0074_Intl,Distributor,M13,South Africa,Johannesburg,Gold,100000,30,"Decor,Textiles",Local Marketplace,Vikram Patel,2020-12-12,N,200K-500K,49,4119.78
C0075,Buyer_0075_Intl,Interior Design Studio,M16,Spain,Barcelona,Bronze,5000,15,Textiles,Amazon,Kavya Iyer,2021-04-12,Y,50K-200K,125,19094.37
C0076,Buyer_0076_Intl,Distributor,M13,South Africa,Cape Town,Bronze,10000,15,Kitchen,Direct B2B,Sneha Reddy,2021-04-20,Y,<50K,13,19699.58
C0077,Buyer_0077_Intl,Online Marketplace,M14,Japan,Kyoto,Gold,5000,90,Storage,Etsy,Kavya Iyer,2021-10-15,Y,200K-500K,36,33763.62
C0078,Buyer_0078_Intl,Interior Design Studio,M03,UK,Birmingham,Gold,25000,30,Decor,Wayfair,Rahul Mehta,2021-08-07,Y,<50K,101,9472.56
C0079,Buyer_0079_Intl,Wholesaler,M06,Canada,Vancouver,Bronze,50000,60,Kitchen,Noon,Kavya Iyer,2021-10-10,N,50K-200K,26,15734.86
C0080,Buyer_0080_Intl,Retail Chain,M18,Sweden,Stockholm,Bronze,10000,45,Textiles,Local Marketplace,Rahul Mehta,2020-05-17,Y,<50K,86,32489.5
C0081,Buyer_0081_Intl,Wholesaler,M19,Ireland,Cork,Silver,100000,30,"Decor,Textiles",Noon,Arjun Nair,2018-12-31,Y,200K-500K,4,33086.05
C0082,Buyer_0082_Intl,Distributor,M05,Australia,Brisbane,Bronze,5000,30,"Kitchen,Storage",Direct B2B,Kavya Iyer,2021-10-11,Y,50K-200K,82,15876.75
C0083,Buyer_0083_Intl,Wholesaler,M15,Italy,Milan,Gold,100000,30,Kitchen,Local Marketplace,Sneha Reddy,2020-05-24,Y,50K-200K,127,18797.66
C0084,Buyer_0084_Intl,Distributor,M02,UAE,Abu Dhabi,Silver,10000,45,"Kitchen,Storage",Wayfair,Rahul Mehta,2018-11-03,Y,500K-1M,88,12688.81
C0085,Buyer_0085_Intl,Retail Chain,M10,Netherlands,Amsterdam,Bronze,5000,60,Storage,Amazon,Sneha Reddy,2019-07-19,Y,50K-200K,127,37356.15
C0086,Buyer_0086_Intl,Wholesaler,M18,Sweden,Gothenburg,Silver,25000,45,Textiles,Noon,Priya Sharma,2020-10-31,Y,50K-200K,120,5450.84
C0087,Buyer_0087_Intl,Distributor,M13,South Africa,Johannesburg,Silver,10000,45,Decor,Direct B2B,Rahul Mehta,2018-09-28,Y,50K-200K,22,37402.98
C0088,Buyer_0088_Intl,Distributor,M05,Australia,Perth,Silver,10000,15,Textiles,Wayfair,Kavya Iyer,2020-01-28,N,<50K,130,27607.56
C0089,Buyer_0089_Intl,Interior Design Studio,M01,USA,Miami,Silver,10000,90,Textiles,Wayfair,Rahul Mehta,2020-11-11,Y,200K-500K,31,21637.63
C0090,Buyer_0090_Intl,Interior Design Studio,M01,USA,Seattle,Bronze,50000,60,All,Wayfair,Sneha Reddy,2021-08-14,Y,<50K,119,2080.24
C0091,Buyer_0091_Intl,Online Marketplace,M18,Sweden,Gothenburg,Silver,25000,30,Textiles,Wayfair,Arjun Nair,2020-03-29,Y,50K-200K,11,19443.37
C0092,Buyer_0092_Intl,Interior Design Studio,M15,Italy,Florence,Bronze,10000,90,Textiles,Local Marketplace,Rahul Mehta,2021-11-16,Y,200K-500K,46,16783.73
C0093,Buyer_0093_Intl,Online Marketplace,M17,Kuwait,Kuwait City,Gold,25000,45,Kitchen,Wayfair,Kavya Iyer,2019-07-03,N,200K-500K,96,7119.78
C0094,Buyer_0094_Intl,Distributor,M11,New Zealand,Auckland,Gold,50000,45,Decor,Noon,Priya Sharma,2020-06-10,Y,200K-500K,10,26531.26
C0095,Buyer_0095_Intl,Retail Chain,M17,Kuwait,Kuwait City,Platinum,10000,45,Kitchen,Direct B2B,Vikram Patel,2021-06-15,Y,50K-200K,128,38869.12
C0096,Buyer_0096_Intl,Distributor,M13,South Africa,Johannesburg,Bronze,25000,60,Kitchen,Local Marketplace,Arjun Nair,2020-10-20,Y,<50K,99,22837.8
C0097,Buyer_0097_Intl,D2C Platform,M01,USA,Los Angeles,Silver,5000,45,Storage,Wayfair,Priya Sharma,2019-11-24,Y,200K-500K,112,28818.33
C0098,Buyer_0098_Intl,Online Marketplace,M02,UAE,Sharjah,Bronze,10000,30,Kitchen,Etsy,Rahul Mehta,2019-07-29,Y,50K-200K,60,3483.26
C0099,Buyer_0099_Intl,Retail Chain,M09,Saudi Arabia,Dammam,Silver,25000,30,All,Etsy,Sneha Reddy,2021-04-17,Y,500K-1M,87,17172.55
C0100,Buyer_0100_Intl,Online Marketplace,M03,UK,Edinburgh,Bronze,10000,90,All,Direct B2B,Sneha Reddy,2021-08-06,Y,500K-1M,145,5361.25
C0101,Buyer_0101_Intl,D2C Platform,M01,USA,New York,Gold,25000,30,"Kitchen,Storage",Amazon,Kavya Iyer,2019-10-11,Y,500K-1M,65,24821.6
C0102,Buyer_0102_Intl,Distributor,M16,Spain,Barcelona,Bronze,50000,30,Storage,Amazon,Sneha Reddy,2020-08-25,Y,50K-200K,57,37588.5
C0103,Buyer_0103_Intl,Online Marketplace,M06,Canada,Toronto,Bronze,5000,30,"Kitchen,Storage",Local Marketplace,Arjun Nair,2021-08-21,Y,50K-200K,106,26741.69
C0104,Buyer_0104_Intl,Online Marketplace,M17,Kuwait,Kuwait City,Bronze,25000,30,"Kitchen,Storage",Local Marketplace,Sneha Reddy,2020-01-05,N,200K-500K,9,3810.68
C0105,Buyer_0105_Intl,Online Marketplace,M05,Australia,Melbourne,Bronze,10000,45,"Decor,Textiles",Local Marketplace,Kavya Iyer,2021-06-11,Y,50K-200K,22,14702.92
C0106,Buyer_0106_Intl,Distributor,M05,Australia,Sydney,Bronze,100000,90,Decor,Amazon,Vikram Patel,2019-11-19,Y,<50K,141,22386.0
C0107,Buyer_0107_Intl,Wholesaler,M06,Canada,Toronto,Silver,25000,30,Decor,Etsy,Rahul Mehta,2018-10-02,Y,500K-1M,89,16605.74
C0108,Buyer_0108_Intl,D2C Platform,M03,UK,Manchester,Gold,50000,30,Kitchen,Amazon,Rahul Mehta,2020-02-07,Y,500K-1M,18,33478.85
C0109,Buyer_0109_Intl,Online Marketplace,M05,Australia,Sydney,Platinum,25000,30,Kitchen,Noon,Sneha Reddy,2021-10-31,Y,50K-200K,115,32735.1
C0110,Buyer_0110_Intl,Interior Design Studio,M05,Australia,Perth,Bronze,5000,60,"Decor,Textiles",Wayfair,Priya Sharma,2021-10-09,N,<50K,145,24783.78
C0111,Buyer_0111_Intl,D2C Platform,M10,Netherlands,Amsterdam,Silver,25000,45,Kitchen,Local Marketplace,Rahul Mehta,2020-07-02,Y,50K-200K,143,15439.55
C0112,Buyer_0112_Intl,Interior Design Studio,M10,Netherlands,Rotterdam,Bronze,100000,30,Decor,Etsy,Vikram Patel,2019-11-08,Y,500K-1M,106,10809.19
C0113,Buyer_0113_Intl,Distributor,M19,Ireland,Cork,Silver,25000,60,"Kitchen,Storage",Direct B2B,Sneha Reddy,2021-11-21,Y,500K-1M,15,4950.27
C0114,Buyer_0114_Intl,Online Marketplace,M17,Kuwait,Kuwait City,Gold,50000,60,Textiles,Direct B2B,Kavya Iyer,2019-12-14,Y,50K-200K,63,14711.99
C0115,Buyer_0115_Intl,Online Marketplace,M14,Japan,Osaka,Gold,50000,60,All,Wayfair,Vikram Patel,2020-05-27,Y,<50K,13,16996.36
C0116,Buyer_0116_Intl,Retail Chain,M09,Saudi Arabia,Jeddah,Bronze,10000,90,Textiles,Etsy,Sneha Reddy,2020-11-25,Y,500K-1M,81,27292.26
C0117,Buyer_0117_Intl,Interior Design Studio,M14,Japan,Kyoto,Silver,10000,30,Textiles,Amazon,Vikram Patel,2020-08-06,Y,50K-200K,32,26599.87
C0118,Buyer_0118_Intl,D2C Platform,M01,USA,Chicago,Gold,25000,60,Decor,Amazon,Rahul Mehta,2019-04-05,Y,50K-200K,137,3548.24
C0119,Buyer_0119_Intl,D2C Platform,M19,Ireland,Cork,Silver,25000,30,Textiles,Noon,Kavya Iyer,2020-03-20,Y,>1M,40,16294.17
C0120,Buyer_0120_Intl,Retail Chain,M13,South Africa,Cape Town,Gold,50000,60,"Decor,Textiles",Noon,Sneha Reddy,2021-01-30,Y,<50K,148,7925.73
C0121,Buyer_0121_Intl,Distributor,M13,South Africa,Cape Town,Silver,100000,45,Storage,Amazon,Arjun Nair,2020-09-02,Y,200K-500K,82,6947.06
C0122,Buyer_0122_Intl,Gift Shop Chain,M04,Singapore,Singapore City,Silver,10000,60,Kitchen,Direct B2B,Kavya Iyer,2021-06-26,Y,<50K,77,33230.24
C0123,Buyer_0123_Intl,Wholesaler,M01,USA,Chicago,Bronze,10000,45,Storage,Local Marketplace,Arjun Nair,2021-01-06,Y,50K-200K,76,2443.08
C0124,Buyer_0124_Intl,Distributor,M17,Kuwait,Kuwait City,Silver,50000,30,"Kitchen,Storage",Direct B2B,Vikram Patel,2019-10-19,Y,500K-1M,38,17231.97
C0125,Buyer_0125_Intl,D2C Platform,M08,France,Marseille,Silver,10000,45,All,Noon,Priya Sharma,2021-04-22,Y,50K-200K,71,7393.58
C0126,Buyer_0126_Intl,Wholesaler,M02,UAE,Dubai,Platinum,50000,90,Kitchen,Wayfair,Kavya Iyer,2019-03-26,Y,>1M,48,35269.74
C0127,Buyer_0127_Intl,Online Marketplace,M08,France,Paris,Gold,25000,90,Textiles,Amazon,Vikram Patel,2019-12-05,Y,200K-500K,18,22635.99
C0128,Buyer_0128_Intl,Online Marketplace,M07,Germany,Munich,Silver,25000,15,All,Noon,Arjun Nair,2018-12-30,Y,50K-200K,144,9870.12
C0129,Buyer_0129_Intl,Retail Chain,M02,UAE,Sharjah,Silver,5000,30,Kitchen,Noon,Rahul Mehta,2018-12-16,Y,50K-200K,39,20495.15
C0130,Buyer_0130_Intl,Distributor,M03,UK,Birmingham,Silver,25000,30,"Decor,Textiles",Local Marketplace,Rahul Mehta,2020-02-28,Y,50K-200K,89,29474.27
C0131,Buyer_0131_Intl,Retail Chain,M18,Sweden,Stockholm,Silver,25000,45,"Decor,Textiles",Amazon,Priya Sharma,2020-03-27,N,50K-200K,62,38358.23
C0132,Buyer_0132_Intl,Wholesaler,M12,Malaysia,Penang,Bronze,25000,60,"Decor,Textiles",Local Marketplace,Kavya Iyer,2021-05-22,Y,<50K,141,9441.48
C0133,Buyer_0133_Intl,Distributor,M01,USA,Miami,Bronze,10000,30,"Decor,Textiles",Amazon,Kavya Iyer,2020-08-01,Y,50K-200K,109,35538.33
C0134,Buyer_0134_Intl,Retail Chain,M12,Malaysia,Kuala Lumpur,Bronze,50000,45,Textiles,Local Marketplace,Kavya Iyer,2021-06-29,Y,50K-200K,81,37424.72
C0135,Buyer_0135_Intl,Retail Chain,M05,Australia,Melbourne,Platinum,50000,60,Storage,Direct B2B,Vikram Patel,2020-04-02,Y,200K-500K,134,36723.69
C0136,Buyer_0136_Intl,Online Marketplace,M17,Kuwait,Kuwait City,Silver,10000,45,Kitchen,Wayfair,Priya Sharma,2020-10-17,Y,200K-500K,77,25708.24
C0137,Buyer_0137_Intl,D2C Platform,M16,Spain,Madrid,Gold,5000,45,Textiles,Wayfair,Kavya Iyer,2018-11-26,Y,200K-500K,90,25488.97
C0138,Buyer_0138_Intl,Retail Chain,M15,Italy,Milan,Gold,5000,45,"Decor,Textiles",Amazon,Vikram Patel,2018-10-12,Y,<50K,14,16605.86
C0139,Buyer_0139_Intl,Retail Chain,M15,Italy,Rome,Bronze,25000,45,"Kitchen,Storage",Etsy,Rahul Mehta,2020-08-19,Y,50K-200K,95,30294.0
C0140,Buyer_0140_Intl,Interior Design Studio,M05,Australia,Sydney,Gold,25000,30,Storage,Noon,Arjun Nair,2020-07-05,Y,200K-500K,54,21626.73
C0141,Buyer_0141_Intl,Retail Chain,M14,Japan,Tokyo,Silver,25000,45,"Kitchen,Storage",Noon,Vikram Patel,2018-11-01,Y,50K-200K,132,27355.57
C0142,Buyer_0142_Intl,Distributor,M02,UAE,Sharjah,Silver,10000,45,All,Amazon,Rahul Mehta,2020-11-05,Y,<50K,39,17595.55
C0143,Buyer_0143_Intl,Retail Chain,M11,New Zealand,Auckland,Bronze,10000,60,"Kitchen,Storage",Local Marketplace,Rahul Mehta,2020-03-12,Y,500K-1M,72,29474.66
C0144,Buyer_0144_Intl,Distributor,M19,Ireland,Cork,Silver,25000,45,All,Etsy,Arjun Nair,2020-04-04,Y,200K-500K,25,33119.28
C0145,Buyer_0145_Intl,Distributor,M07,Germany,Munich,Platinum,25000,60,All,Direct B2B,Rahul Mehta,2019-03-29,Y,50K-200K,77,6540.3
C0146,Buyer_0146_Intl,Online Marketplace,M06,Canada,Toronto,Silver,250000,30,"Decor,Textiles",Local Marketplace,Priya Sharma,2020-09-25,Y,<50K,120,33450.84
C0147,Buyer_0147_Intl,Retail Chain,M02,UAE,Sharjah,Silver,5000,30,All,Local Marketplace,Arjun Nair,2018-09-23,Y,200K-500K,53,21979.62
C0148,Buyer_0148_Intl,D2C Platform,M06,Canada,Calgary,Gold,25000,15,Decor,Amazon,Rahul Mehta,2020-06-11,Y,200K-500K,131,33910.9
C0149,Buyer_0149_Intl,Retail Chain,M18,Sweden,Gothenburg,Silver,25000,30,Kitchen,Amazon,Sneha Reddy,2021-02-28,Y,200K-500K,96,17707.03
C0150,Buyer_0150_Intl,Online Marketplace,M02,UAE,Dubai,Platinum,25000,45,Kitchen,Noon,Vikram Patel,2021-04-14,Y,200K-500K,72,15658.39
C0151,Buyer_0151_Intl,Online Marketplace,M18,Sweden,Stockholm,Gold,50000,90,"Decor,Textiles",Amazon,Rahul Mehta,2018-11-15,N,500K-1M,62,36670.38
C0152,Buyer_0152_Intl,Distributor,M15,Italy,Rome,Silver,25000,15,Decor,Amazon,Priya Sharma,2020-12-06,Y,50K-200K,6,10645.84
C0153,Buyer_0153_Intl,Interior Design Studio,M19,Ireland,Dublin,Gold,250000,30,"Kitchen,Storage",Amazon,Kavya Iyer,2021-11-07,Y,<50K,32,33893.12
C0154,Buyer_0154_Intl,Distributor,M02,UAE,Sharjah,Silver,5000,60,Textiles,Noon,Rahul Mehta,2019-01-19,Y,200K-500K,99,19773.61
C0155,Buyer_0155_Intl,Gift Shop Chain,M20,Portugal,Lisbon,Bronze,5000,30,"Kitchen,Storage",Direct B2B,Kavya Iyer,2020-07-14,Y,200K-500K,138,20952.54
